"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44289644269,3171;2;0;1;206;;;;;;;;;"03.04.2021 15:27:45";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44289725953,3912;2;1;1;206;;;;;;;;;"03.04.2021 17:25:22";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44289725976,5509;2;0;1;206;;;;;;;;;"03.04.2021 17:25:24";"CMD brug tijdens 10 sec. naastliggende brug";"HMI_Connection_HN_Lokaal"
44307434892,8009;2;1;1;170;;;;;;;;;"21.04.2021 10:26:15";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44307434904,3634;2;0;1;170;;;;;;;;;"21.04.2021 10:26:16";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44307444007,6968;1;1;3;110001;;;;;;;;;"21.04.2021 10:39:22";"Ga naar bedrijfstoestand 'online'.";
44307444029,8495;1;1;3;140000;"HMI_Connection_HN_Lokaal";"192.168.132.1";"0";"1";;;;;"21.04.2021 10:39:24";"Verbinding opgebouwd: HMI_Connection_HN_Lokaal, station 192.168.132.1, rack 0, plaats 1.";
44307474012,3958;2;6;1;170;;;;;;;;;"21.04.2021 11:22:35";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44315562560,4861;1;1;3;110001;;;;;;;;;"29.04.2021 13:30:05";"Ga naar bedrijfstoestand 'online'.";
44315562582,3958;1;1;3;140000;"HMI_Connection_HN_Lokaal";"192.168.132.1";"0";"1";;;;;"29.04.2021 13:30:07";"Verbinding opgebouwd: HMI_Connection_HN_Lokaal, station 192.168.132.1, rack 0, plaats 1.";
44327577641,25;1;1;3;110001;;;;;;;;;"11.05.2021 13:51:48";"Ga naar bedrijfstoestand 'online'.";
44327577668,8542;1;1;3;140000;"HMI_Connection_HN_Lokaal";"192.168.132.1";"0";"1";;;;;"11.05.2021 13:51:51";"Verbinding opgebouwd: HMI_Connection_HN_Lokaal, station 192.168.132.1, rack 0, plaats 1.";
44342534608,7963;1;1;3;110001;;;;;;;;;"26.05.2021 12:49:50";"Ga naar bedrijfstoestand 'online'.";
44342534635,9491;1;1;3;140000;"HMI_Connection_HN_Lokaal";"192.168.132.1";"0";"1";;;;;"26.05.2021 12:49:53";"Verbinding opgebouwd: HMI_Connection_HN_Lokaal, station 192.168.132.1, rack 0, plaats 1.";
44348438624,0741;2;1;1;170;;;;;;;;;"01.06.2021 10:31:37";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44348438647,2222;2;0;1;170;;;;;;;;;"01.06.2021 10:31:39";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
44348438670,3819;2;1;1;170;;;;;;;;;"01.06.2021 10:31:41";"Onjuist scheepvaartseinbeeld tijdens indrukken drukknop sluiten";"HMI_Connection_HN_Lokaal"
